#  Albany County, New York Average Temperature
# Units: Degrees Fahrenheit,
# Missing: -99,
Date,Value
199501,30.0
199502,21.1
199503,38.1
199504,42.1
199505,55.4
199506,66.6
199507,72.4
199508,69.5
199509,58.3
199510,53.5
199511,35.1
199512,22.6
199601,20.1
199602,24.6
199603,29.6
199604,44.3
199605,53.9
199606,66.9
199607,68.3
199608,69.0
199609,61.8
199610,49.1
199611,34.9
199612,33.2
199701,22.0
199702,29.6
199703,32.4
199704,43.0
199705,52.5
199706,66.2
199707,69.0
199708,67.5
199709,59.4
199710,47.8
199711,35.8
199712,29.0
199801,28.4
199802,31.3
199803,37.4
199804,47.7
199805,61.8
199806,65.0
199807,69.5
199808,69.7
199809,62.5
199810,50.8
199811,39.4
199812,34.0
199901,22.0
199902,27.9
199903,33.2
199904,46.0
199905,58.0
199906,67.9
199907,72.3
199908,67.9
199909,63.8
199910,47.6
199911,43.9
199912,30.3
200001,20.6
200002,26.6
200003,39.2
200004,44.0
200005,57.7
200006,64.6
200007,65.9
200008,66.7
200009,59.4
200010,49.8
200011,38.0
200012,22.0
200101,23.4
200102,26.9
200103,29.6
200104,45.8
200105,58.2
200106,66.3
200107,67.1
200108,71.6
200109,61.4
200110,51.5
200111,43.6
200112,34.2
200201,30.7
200202,31.1
200203,35.4
200204,48.1
200205,53.3
200206,65.5
200207,71.8
200208,71.2
200209,63.8
200210,47.3
200211,37.5
200212,26.0
200301,15.3
200302,20.5
200303,33.1
200304,42.8
200305,55.2
200306,64.4
200307,70.1
200308,71.2
200309,61.7
200310,47.6
200311,41.8
200312,28.6
200401,14.7
200402,23.4
200403,36.4
200404,46.5
200405,60.8
200406,63.8
200407,68.8
200408,67.9
200409,62.7
200410,49.3
200411,39.7
200412,27.2
200501,19.2
200502,26.2
200503,29.5
200504,48.4
200505,52.8
200506,70.6
200507,71.9
200508,72.0
200509,65.1
200510,50.9
200511,41.8
200512,25.6
200601,30.7
200602,27.4
200603,34.5
200604,48.0
200605,57.0
200606,65.9
200607,72.8
200608,68.6
200609,59.8
200610,48.4
200611,44.1
200612,35.5
200701,27.4
200702,19.2
200703,30.8
200704,42.7
200705,58.6
200706,66.9
200707,68.5
200708,69.2
200709,62.9
200710,56.0
200711,37.3
200712,27.4
200801,26.9
200802,26.4
200803,32.1
200804,50.0
200805,53.9
200806,68.4
200807,71.8
200808,66.7
200809,62.9
200810,47.8
200811,38.9
200812,28.6
200901,17.4
200902,27.0
200903,35.2
200904,48.2
200905,56.8
200906,64.5
200907,67.1
200908,69.8
200909,59.7
200910,47.3
200911,42.9
200912,27.1
201001,24.0
201002,27.1
201003,40.8
201004,51.0
201005,60.2
201006,66.6
201007,73.4
201008,69.7
201009,63.6
201010,50.3
201011,39.3
201012,25.1
201101,19.8
201102,23.0
201103,33.3
201104,47.4
201105,60.0
201106,65.9
201107,72.2
201108,68.9
201109,64.0
201110,51.9
201111,43.8
201112,33.8
201201,28.0
201202,32.1
201203,44.5
201204,46.6
201205,61.7
201206,65.6
201207,73.2
201208,70.1
201209,61.4
201210,52.6
201211,37.4
201212,32.8
201301,25.2
201302,26.2
201303,32.6
201304,44.6
201305,58.0
201306,66.1
201307,73.8
201308,67.3
201309,60.0
201310,51.9
201311,36.3
201312,27.2
201401,18.7
201402,20.7
201403,26.0
201404,45.5
201405,58.0
201406,66.2
201407,69.7
201408,66.7
201409,61.8
201410,52.8
201411,37.0
201412,31.6
201501,18.0
201502,10.8
201503,27.5
201504,45.0
201505,63.2
201506,64.4
201507,70.1
201508,69.9
201509,66.4
201510,48.8
201511,43.6
201512,40.5
201601,25.9
201602,29.5
201603,40.6
201604,44.3
201605,57.3
201606,65.7
201607,71.8
201608,71.5
201609,64.5
201610,51.8
201611,40.6
201612,29.1
201701,29.6
201702,31.9
201703,30.4
201704,50.8
201705,55.5
201706,65.4
201707,69.6
201708,67.3
201709,64.2
201710,56.3
201711,38.3
201712,24.6
201801,21.2
201802,31.5
201803,32.1
201804,39.5
201805,61.6
201806,64.9
201807,73.3
201808,72.3
201809,65.1
201810,49.1
201811,35.4
201812,30.0
201901,21.7
201902,26.2
201903,32.2
201904,47.5
201905,56.6
201906,64.8
201907,72.3
201908,68.7
201909,61.1
201910,51.8
201911,35.0
201912,28.0
202001,29.8
202002,30.1
202003,39.8
202004,43.7
202005,56.8
202006,67.3
202007,74.3
202008,69.9
202009,60.9
202010,51.2
202011,42.2
202012,31.3
202101,25.5
202102,24.0
202103,36.2
202104,48.0
202105,56.7
202106,68.2
202107,69.6
202108,71.3
202109,63.3
202110,55.8
202111,38.2
202112,35.4
202201,19.0
202202,26.3
202203,35.5
202204,46.2
202205,60.4
202206,65.3
202207,72.1
202208,72.8
202209,61.9
202210,50.6
202211,42.8
202212,30.7
202301,32.1
202302,31.0
202303,35.4
202304,50.8
202305,56.2
202306,64.6
202307,73.1
202308,67.8
202309,63.6
202310,55.4
202311,38.0
202312,36.3
202401,28.9
202402,32.3
202403,38.9
202404,47.2
202405,62.3
202406,69.1
202407,74.4
202408,69.4
202409,63.8
202410,52.8
202411,43.3