#  Suffolk County, New York Average Temperature
# Units: Degrees Fahrenheit,
# Missing: -99,
Date,Value
199501,36.4
199502,29.8
199503,41.2
199504,47.5
199505,56.4
199506,66.8
199507,74.6
199508,73.1
199509,64.1
199510,57.7
199511,42.1
199512,30.7
199601,29.7
199602,31.4
199603,35.5
199604,47.6
199605,56.7
199606,67.6
199607,70.4
199608,70.8
199609,65.3
199610,53.3
199611,40.7
199612,39.2
199701,30.7
199702,37.4
199703,39.0
199704,47.1
199705,55.2
199706,66.5
199707,73.0
199708,70.6
199709,64.4
199710,54.2
199711,42.6
199712,36.5
199801,37.7
199802,37.5
199803,41.2
199804,49.3
199805,60.0
199806,65.9
199807,73.3
199808,73.6
199809,67.3
199810,55.3
199811,45.0
199812,40.0
199901,32.8
199902,34.8
199903,40.0
199904,49.3
199905,58.8
199906,69.9
199907,76.4
199908,72.3
199909,66.5
199910,53.7
199911,48.2
199912,37.8
200001,29.3
200002,34.1
200003,43.2
200004,47.2
200005,58.7
200006,67.4
200007,69.5
200008,70.2
200009,64.2
200010,54.0
200011,43.6
200012,30.1
200101,29.8
200102,32.9
200103,36.8
200104,49.1
200105,59.2
200106,69.6
200107,69.4
200108,74.8
200109,64.9
200110,55.4
200111,49.0
200112,41.7
200201,37.4
200202,37.0
200203,41.6
200204,51.5
200205,56.6
200206,67.1
200207,74.8
200208,74.0
200209,67.0
200210,54.1
200211,44.0
200212,34.0
200301,26.5
200302,27.3
200303,38.9
200304,46.2
200305,55.1
200306,65.5
200307,73.0
200308,74.2
200309,66.3
200310,53.0
200311,47.7
200312,36.7
200401,23.9
200402,32.4
200403,39.8
200404,49.1
200405,59.7
200406,66.5
200407,71.6
200408,71.0
200409,66.4
200410,54.2
200411,45.6
200412,36.2
200501,29.5
200502,32.5
200503,35.3
200504,49.6
200505,54.3
200506,69.0
200507,73.9
200508,76.1
200509,69.4
200510,56.4
200511,47.3
200512,34.1
200601,38.0
200602,32.7
200603,39.4
200604,50.5
200605,58.4
200606,68.2
200607,75.3
200608,73.2
200609,64.0
200610,54.4
200611,49.6
200612,42.0
200701,35.8
200702,27.2
200703,38.6
200704,46.7
200705,59.9
200706,67.8
200707,72.5
200708,72.2
200709,66.6
200710,61.1
200711,43.8
200712,35.2
200801,34.2
200802,34.0
200803,40.0
200804,50.4
200805,56.2
200806,70.3
200807,74.7
200808,69.9
200809,66.6
200810,53.3
200811,43.8
200812,37.3
200901,26.4
200902,34.2
200903,38.7
200904,50.0
200905,58.2
200906,64.8
200907,70.6
200908,74.2
200909,64.0
200910,53.1
200911,49.3
200912,35.1
201001,30.6
201002,31.9
201003,44.6
201004,53.0
201005,61.5
201006,71.2
201007,77.4
201008,73.8
201009,68.2
201010,55.9
201011,45.8
201012,32.1
201101,27.6
201102,32.7
201103,40.3
201104,49.8
201105,60.6
201106,69.3
201107,76.4
201108,73.3
201109,68.1
201110,56.4
201111,49.4
201112,41.0
201201,36.2
201202,37.9
201203,47.0
201204,51.5
201205,61.8
201206,67.9
201207,75.8
201208,73.8
201209,65.8
201210,57.8
201211,42.6
201212,40.6
201301,33.3
201302,32.2
201303,38.3
201304,48.9
201305,57.9
201306,68.5
201307,77.0
201308,70.8
201309,63.6
201310,56.8
201311,43.3
201312,36.8
201401,27.4
201402,29.6
201403,34.9
201404,47.7
201405,59.6
201406,68.3
201407,73.3
201408,70.7
201409,66.8
201410,57.3
201411,43.6
201412,39.6
201501,28.6
201502,20.9
201503,34.3
201504,48.6
201505,61.7
201506,67.1
201507,74.6
201508,74.5
201509,70.0
201510,54.9
201511,49.5
201512,48.0
201601,33.0
201602,35.3
201603,44.9
201604,48.0
201605,57.8
201606,68.0
201607,75.4
201608,76.2
201609,68.6
201610,57.2
201611,47.5
201612,37.1
201701,36.4
201702,37.9
201703,37.0
201704,52.8
201705,57.9
201706,68.1
201707,73.5
201708,71.3
201709,68.0
201710,61.3
201711,45.4
201712,33.5
201801,29.4
201802,38.7
201803,38.5
201804,45.3
201805,61.8
201806,67.1
201807,74.5
201808,76.0
201809,69.1
201810,56.0
201811,43.4
201812,37.8
201901,31.6
201902,33.8
201903,38.1
201904,50.8
201905,58.2
201906,67.8
201907,76.4
201908,72.8
201909,66.3
201910,57.3
201911,41.9
201912,36.6
202001,37.0
202002,37.4
202003,44.0
202004,45.8
202005,56.5
202006,69.0
202007,76.7
202008,74.3
202009,66.1
202010,56.5
202011,48.6
202012,37.5
202101,33.0
202102,32.1
202103,41.7
202104,50.0
202105,58.4
202106,69.6
202107,73.4
202108,74.6
202109,68.5
202110,60.5
202111,44.2
202112,41.3
202201,29.3
202202,34.2
202203,41.8
202204,48.9
202205,60.5
202206,67.5
202207,75.7
202208,76.2
202209,66.9
202210,55.6
202211,48.2
202212,37.1
202301,40.9
202302,37.4
202303,41.0
202304,52.2
202305,57.6
202306,66.1
202307,76.0
202308,71.9
202309,67.8
202310,58.1
202311,43.6
202312,42.0
202401,35.2
202402,36.0
202403,45.0
202404,50.0
202405,60.8
202406,71.0
202407,76.1
202408,72.4
202409,66.2
202410,57.5
202411,49.4